name,address,lat,lng
Station Mall,"293 Bay St, Sault Ste. Marie, ON P6A 1X3",46.5134093,-84.3395735
Cambrian Mall,"44 Great Northern Rd, Sault Ste. Marie, ON P6B 4Y5",46.5234976,-84.317387
Market Mall,"275 Second Line W, Sault Ste. Marie, ON P6C 2J4",46.5368161,-84.3639158
